number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
51,0.8669737361674258,2026-01-04 12:04:07.694087,2026-01-04 12:04:09.335242,0 days 00:00:01.641155,0.6545161051067725,75,0.0780471117548612,4,186,0.004506685371092313,905,183,0.007038104019059766,0.015126516682552302,2.73522532767788,0.9784186290691782,0.8787500842715567,0.8699659783686953,COMPLETE
52,0.8670315223777101,2026-01-04 12:04:09.337236,2026-01-04 12:04:10.747135,0 days 00:00:01.409899,0.6576285334435163,75,0.07583011870594197,4,187,0.004590526407847993,867,219,0.006176541850052354,0.014004450532856844,2.347757804693273,0.982203032438002,0.8784105902861381,0.8699942695341469,COMPLETE
53,0.8665942733865609,2026-01-04 12:04:10.749560,2026-01-04 12:04:12.291934,0 days 00:00:01.542374,0.6634998215083225,82,0.07067899515739985,4,187,0.0040933466348367096,809,222,0.005766760196369979,0.014516501435683017,2.911604124642909,0.9876519539033631,0.8694010579692,,COMPLETE
54,0.8686350897130914,2026-01-04 12:04:12.294266,2026-01-04 12:04:14.232189,0 days 00:00:01.937923,0.6374865294084808,75,0.04032937718377515,4,152,0.020970179132847502,620,236,0.0010383057653020093,0.01022891552834803,1.8299739263005865,0.957063086354481,0.8767215475147114,0.8686350897130914,PRUNED
55,0.8682766346274234,2026-01-04 12:04:14.233403,2026-01-04 12:04:14.990893,0 days 00:00:00.757490,0.6315965685126465,77,0.1796407987470674,5,183,0.004875099261482245,890,208,0.0033792671886246715,0.01972317979151431,2.1991128675307996,0.9796214830829866,0.8682766346274234,,PRUNED
56,0.8762568500736775,2026-01-04 12:04:14.991892,2026-01-04 12:04:15.717211,0 days 00:00:00.725319,0.6677843933718508,93,0.055239721375755974,9,172,0.0010399664663730118,1022,186,0.00787901783981283,0.03143344914355253,3.70433716058438,0.9417464487363153,0.8762568500736775,,PRUNED
57,0.8674902004218394,2026-01-04 12:04:15.719206,2026-01-04 12:04:17.222819,0 days 00:00:01.503613,0.7011190728030913,80,0.10459757898065385,4,179,0.011141444853353255,1531,243,0.0016461093016931789,0.014110129796917663,1.5845077851935572,0.973166199867449,0.8791979274012578,0.8702699579123769,COMPLETE
58,0.8675513574943899,2026-01-04 12:04:17.224814,2026-01-04 12:04:18.461721,0 days 00:00:01.236907,0.6782960474378735,87,0.11034445789031726,5,179,0.012382854490980562,1524,239,0.030818741491316408,0.013400969783911006,1.5811823286208535,0.9759266231093189,0.8784166096830426,0.8701540845219635,COMPLETE
59,0.868890613111691,2026-01-04 12:04:18.463724,2026-01-04 12:04:19.446555,0 days 00:00:00.982831,0.6240951303060396,83,0.11009136158896551,5,181,0.014607181672790315,531,246,0.0460573610480669,0.014807235497946398,1.5450394549130997,0.9239609959770873,0.8771705945237934,0.868890613111691,PRUNED
60,0.8739423919638645,2026-01-04 12:04:19.449704,2026-01-04 12:04:19.887486,0 days 00:00:00.437782,0.6516669347353765,92,0.24938997734255153,5,146,0.007680458581081396,1546,239,0.020028274769471815,0.012061419348328745,1.9622530589344571,0.9584694914080499,0.8739423919638645,,PRUNED
61,0.8674567325750498,2026-01-04 12:04:19.889702,2026-01-04 12:04:21.532888,0 days 00:00:01.643186,0.6732019331036553,86,0.10940496600683795,4,158,0.003517562143004844,726,256,0.002812432051312157,0.01981964183875675,1.503496422439494,0.9735965165156689,0.8785682984850383,0.8702868122237097,COMPLETE
62,0.8667199583939287,2026-01-04 12:04:21.535532,2026-01-04 12:04:22.664879,0 days 00:00:01.129347,0.6778224688429625,87,0.11273642410146738,4,158,0.0030651150410473706,737,253,0.005136677527935006,0.019911290911267573,1.7034116144795146,0.9981656505769856,0.8693811939594148,,COMPLETE
63,0.8769081488187536,2026-01-04 12:04:22.667379,2026-01-04 12:04:23.120291,0 days 00:00:00.452912,0.6958618736918122,87,0.14466668668477622,5,168,0.01377134178829535,904,232,0.0030615654746014437,0.033394387022144,1.44346359072603,0.9828424717054703,0.8769081488187536,,PRUNED
64,0.8679275096069575,2026-01-04 12:04:23.121292,2026-01-04 12:04:23.943086,0 days 00:00:00.821794,0.6455970168402371,89,0.2215433027465375,6,179,0.0195486299428286,720,245,0.0014362145097938513,0.05766215818318324,1.2796218958712515,0.9670033470747547,0.8679275096069575,,PRUNED
65,0.8676765609500052,2026-01-04 12:04:23.944088,2026-01-04 12:04:25.233636,0 days 00:00:01.289548,0.7260500019875015,80,0.10878025927077102,4,173,0.0065550941611160615,618,256,0.034721549740701095,0.013189861580148586,1.0819341125446682,0.9382242290164388,0.8704725106182161,,COMPLETE
66,0.8698820077818764,2026-01-04 12:04:25.235638,2026-01-04 12:04:26.927606,0 days 00:00:01.691968,0.7339437399153554,81,0.058719775264105,4,173,0.006140078293237625,597,256,0.04165937185642027,0.013010887743313946,1.0256176976682747,0.9364138548750319,0.8779230191368668,0.8698820077818764,PRUNED
67,0.8682739258988164,2026-01-04 12:04:26.929601,2026-01-04 12:04:28.224074,0 days 00:00:01.294473,0.6746683543662051,84,0.11112357243311498,4,53,0.01163974630443132,777,242,0.019474347122204073,0.020283488654154944,1.6501576546966368,0.95398850723628,0.879514547678439,0.8713826434301895,COMPLETE
68,0.8527110761718562,2026-01-04 12:04:28.226069,2026-01-04 12:04:29.203522,0 days 00:00:00.977453,0.721524411391699,84,0.0023336630511115127,4,55,0.03594174204667558,631,246,0.02975337940473691,0.07817681754527776,1.1401995433498038,0.9492473140236647,0.8527110761718562,,PRUNED
69,0.8670522291030617,2026-01-04 12:04:29.204523,2026-01-04 12:04:30.552210,0 days 00:00:01.347687,0.7088974148810148,79,0.10990114464839167,4,63,0.011205831536828657,511,237,0.02288123744327884,0.010149933334196818,1.5996623216309087,0.9561515823946204,0.878484026928374,0.8701297059644999,COMPLETE
70,0.8663987633750999,2026-01-04 12:04:30.554462,2026-01-04 12:04:31.868138,0 days 00:00:01.313676,0.7142017989524074,79,0.10698735684800063,4,78,0.010869014998228918,537,237,0.10717627409495747,0.010221292622832404,1.6113966607728925,0.915848370697218,0.8697429597133803,,COMPLETE
71,0.8681588350300007,2026-01-04 12:04:31.869250,2026-01-04 12:04:33.043506,0 days 00:00:01.174256,0.6768509021976201,89,0.12686654665343783,4,61,0.007397897269091989,752,222,0.017841295788786894,0.020899592441219764,1.8170421701203536,0.95325578929343,0.8792208011094953,0.8713988958018319,COMPLETE
72,0.8668851306449904,2026-01-04 12:04:33.045500,2026-01-04 12:04:34.332871,0 days 00:00:01.287371,0.6726070998009434,89,0.12794218830353846,4,66,0.006788104946460423,767,224,0.018644314861732812,0.02150611793934588,1.4594460220748597,0.9355574704452004,0.8699527356955052,,COMPLETE
73,0.8671993431634097,2026-01-04 12:04:34.334242,2026-01-04 12:04:35.446732,0 days 00:00:01.112490,0.6844958006374422,95,0.1873057325001837,4,44,0.026115698347640177,677,245,0.026731860801100925,6.313991169604306,1.7348506536312698,0.9543760034406167,0.8696902899904653,,COMPLETE
74,0.8681465554603154,2026-01-04 12:04:35.448982,2026-01-04 12:04:36.787133,0 days 00:00:01.338151,0.6803210536795721,96,0.16559944114797046,4,44,0.0237279918070846,608,256,0.03143714832538719,6.275088158002364,1.7342195712311879,0.96403844527333,0.8800430507266617,0.8709925865107724,COMPLETE
75,0.8698687651086863,2026-01-04 12:04:36.789172,2026-01-04 12:04:37.857225,0 days 00:00:01.068053,0.6988798900819025,98,0.1641644282733815,5,50,0.06494287487952759,2988,248,0.06249113347514427,18.77450496212376,1.9689288882891116,0.9680709556688687,0.8782841829511417,0.8698687651086863,PRUNED
76,0.8670666756556328,2026-01-04 12:04:37.859313,2026-01-04 12:04:39.096604,0 days 00:00:01.237291,0.7307664492524192,91,0.14755735118581123,4,45,0.01696045591550586,778,256,0.03576245297675199,5.230091178534048,1.3236115494375733,0.9991144242933848,0.8700002889310515,,COMPLETE
77,0.8675832001040152,2026-01-04 12:04:39.098665,2026-01-04 12:04:40.039412,0 days 00:00:00.940747,0.6977908088797498,100,0.24688778114355,7,39,0.044462909025633914,610,233,0.016787660608967348,11.799771940651086,1.1284348062039617,0.9349197716592395,0.8675832001040152,,PRUNED
78,0.8672780768749216,2026-01-04 12:04:40.041863,2026-01-04 12:04:41.311352,0 days 00:00:01.269489,0.6790690459420111,86,0.0952316158066481,5,51,0.12075192316437108,954,226,0.00926873834394113,0.6731238180214858,0.9334469573301183,0.9477710657300955,0.8779464947847946,0.8703626566247075,COMPLETE
79,0.8680088316591383,2026-01-04 12:04:41.313369,2026-01-04 12:04:42.513722,0 days 00:00:01.200353,0.6155517486473194,95,0.17901941589859843,4,26,0.009701280088454682,1832,242,0.10568257250565863,1.363553883139328,1.4617214683047508,0.9129270146083271,0.8785014831793972,0.8708237424275986,COMPLETE
80,0.8689613410253201,2026-01-04 12:04:42.515719,2026-01-04 12:04:43.381690,0 days 00:00:00.865971,0.6056485999694088,89,0.19850291365699008,5,27,0.02476031894282361,1559,249,0.15242953782213112,1.5582943973515313,1.2126359763081624,0.8888424021565311,0.8689613410253201,,PRUNED
81,0.866516984330306,2026-01-04 12:04:43.383685,2026-01-04 12:04:44.822872,0 days 00:00:01.439187,0.7633699929053841,95,0.12176522504538223,4,16,0.008256501952419549,1858,240,0.055780647723163906,3.622960877443547,1.7887810183443387,0.9173835969801729,0.8691614859723975,,COMPLETE
82,0.8681441477015536,2026-01-04 12:04:44.823873,2026-01-04 12:04:46.105184,0 days 00:00:01.281311,0.6177032124892127,94,0.1666725236510232,4,59,0.009515924352472524,1684,241,0.10147752566791413,1.6142908598295511,1.401688955002201,0.9707792764005568,0.8705272871300479,,COMPLETE
83,0.8681588350300007,2026-01-04 12:04:46.107252,2026-01-04 12:04:47.398073,0 days 00:00:01.290821,0.6174191345698665,95,0.139555438677854,4,60,0.009764380144590249,1969,225,0.10159100227346371,0.7970090216055594,1.4067999243004696,0.986685056228627,0.8710356251986401,,COMPLETE
84,0.8683538634897093,2026-01-04 12:04:47.399262,2026-01-04 12:04:48.620443,0 days 00:00:01.221181,0.6151052079120957,95,0.17834790613713006,4,62,0.008962966270839668,2041,228,0.1014800987529758,1.4432752975126864,1.0592816852090683,0.990569119930187,0.8797149935953616,0.8708878490046326,COMPLETE
85,0.8686329227302056,2026-01-04 12:04:48.621440,2026-01-04 12:04:49.740781,0 days 00:00:01.119341,0.616955168959082,95,0.22547462548441133,4,60,0.0057954272242294776,2023,229,0.08961723021921418,1.5276692929054525,1.093961722261692,0.9880104748625329,0.8801682541822768,0.8716345551906463,COMPLETE
86,0.8680678217488034,2026-01-04 12:04:49.742777,2026-01-04 12:04:50.802844,0 days 00:00:01.060067,0.6189352738031528,95,0.22420479599743015,4,60,0.005854125856651532,2109,230,0.09681233214247348,1.9242923201468383,1.0564320868080976,0.9891283488736123,0.8705895878880103,,COMPLETE
87,0.8681496855467057,2026-01-04 12:04:50.805513,2026-01-04 12:04:51.913934,0 days 00:00:01.108421,0.6140921920668811,95,0.26976585608770803,4,57,0.005715761491198397,2000,205,0.08944608139349011,2.045690966817557,1.3865800560619914,0.9864999081541654,0.8710810716452697,,COMPLETE
88,0.8667654650345273,2026-01-04 12:04:51.914942,2026-01-04 12:04:52.984038,0 days 00:00:01.069096,0.6189205249211764,98,0.2967002076874482,4,59,0.005319177355345786,1971,203,0.2020892582057517,2.010177784365962,1.2801237267515686,0.9896255973886038,0.869314378653774,,COMPLETE
89,0.8668733326270575,2026-01-04 12:04:52.985131,2026-01-04 12:04:54.064727,0 days 00:00:01.079596,0.6287290383394624,96,0.22936046280443054,4,74,0.01598067693863415,2103,222,0.08325741016670739,0.8965198326440578,1.0451676931296883,0.9864695253417513,0.8696692221012992,,COMPLETE
