number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
38,0.8618620643160522,2026-03-01 13:53:54.569568,2026-03-01 13:53:56.819793,0 days 00:00:02.250225,0.8690669942341219,81,2.719199018084027,0.0481734987155969,4,4.849405922803152,778,0.10734503347982921,0.05890020162255722,1.0165793647908217,0.6231350061775418,0.8618620643160522,,PRUNED
39,0.8691298841386484,2026-03-01 13:53:56.822789,2026-03-01 13:53:59.318877,0 days 00:00:02.496088,0.8010260456395917,84,4.124416281011573,0.011730337746006535,5,1.0917398014631123,1045,1.3081598882566436,8.4738736711461,0.7929096401686265,0.7746199003820684,0.8691298841386484,,PRUNED
40,0.8694645626065434,2026-03-01 13:53:59.321890,2026-03-01 13:54:00.610568,0 days 00:00:01.288678,0.8198506552209902,95,4.498534572113644,0.025413225702470302,6,1.7874155379924905,629,0.2183829141201167,2.608080494093989,0.5743197611724506,0.7087065216015334,0.8694645626065434,,PRUNED
41,0.8604802515626355,2026-03-01 13:54:00.615559,2026-03-01 13:54:03.852652,0 days 00:00:03.237093,0.8502039931337194,94,3.708483925103484,0.024126010321153933,5,3.6061915848604267,748,0.43691916978357626,0.7623046303055373,0.7294411653075612,0.6811975216947749,0.8626722751394094,,COMPLETE
42,0.8612143772091186,2026-03-01 13:54:03.854749,2026-03-01 13:54:07.165221,0 days 00:00:03.310472,0.8310979184261679,92,3.6783565147456496,0.0156587118975887,4,2.8383612102225544,794,0.7142650462584621,1.007070328648661,0.6303268991011557,0.6761482976389306,0.8612143772091186,,PRUNED
43,0.8586344636958133,2026-03-01 13:54:07.167216,2026-03-01 13:54:08.827575,0 days 00:00:01.660359,0.852926096935784,97,4.982939122296687,0.042178468080019675,5,9.302117071652267,621,1.7062045039841698,1.5069821435235058,0.8008079747785393,0.7318596828065762,0.8586344636958133,,PRUNED
44,0.8623511403145496,2026-03-01 13:54:08.830076,2026-03-01 13:54:09.656307,0 days 00:00:00.826231,0.8861212230338301,89,3.250192233513351,0.11493110720582711,6,3.9109269183484345,906,0.14952778344911757,0.24823804882177955,1.4576599335076992,0.6524295919649967,0.8706196848725332,0.8623511403145496,PRUNED
45,0.8624363147807494,2026-03-01 13:54:09.658812,2026-03-01 13:54:11.295289,0 days 00:00:01.636477,0.8258006291477515,95,2.36077349390571,0.03273406841863803,5,1.9984727011876506,832,0.3422933977741064,0.4241292310133597,0.5482058242665031,0.6319555174842967,0.8712800127129663,0.8624363147807494,PRUNED
46,0.8588758415116873,2026-03-01 13:54:11.297788,2026-03-01 13:54:13.951094,0 days 00:00:02.653306,0.7628019310291814,99,4.148581334833044,0.02187686775802266,4,1.0463916450959,506,9.4610953946571,0.6649116698750487,1.081070649943055,0.6903581081047196,0.8588758415116873,,PRUNED
47,0.8587337837447391,2026-03-01 13:54:13.953624,2026-03-01 13:54:15.104661,0 days 00:00:01.151037,0.91618763871152,78,1.9725290787885923,0.001651780905317727,7,5.6692334759925265,701,0.06781926709284959,2.2555924503978333,0.7246722437795996,0.7202709005242482,0.8587337837447391,,PRUNED
48,0.8611722414307866,2026-03-01 13:54:15.106656,2026-03-01 13:54:18.135044,0 days 00:00:03.028388,0.6442663558083006,92,2.640023716817465,0.01855733588149402,5,0.6591202518431222,1147,0.559167494504468,0.03051388162204017,0.6345704453713839,0.7402882105823445,0.8715123614334833,0.8633964085870309,COMPLETE
