number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
43,0.8736341988423496,2026-01-01 18:04:15.657467,2026-01-01 18:04:16.349533,0 days 00:00:00.692066,0.789814100771618,93,3.258593999432781,0.0806184677751126,4,2.112348065642663,1426,0.012321337865311232,0.22853222169921364,1.5459738261850264,0.6944252142786541,0.8736341988423496,,PRUNED
44,0.8687675164449924,2026-01-01 18:04:16.351528,2026-01-01 18:04:18.210158,0 days 00:00:01.858630,0.7643890881536206,88,3.6723424614309215,0.04602863928908214,5,2.3868267475372726,1142,0.0029488914295188093,0.07666545717741263,2.1996237993333927,0.7338177147398198,0.8754815517523667,0.8687675164449924,PRUNED
45,0.8663862430295384,2026-01-01 18:04:18.212153,2026-01-01 18:04:20.158036,0 days 00:00:01.945883,0.6816985680921225,96,3.9510057712020936,0.05185594674234504,4,1.18498971593003,1657,0.013565030894350615,0.1465487702045974,2.6395644283847566,0.6321456973335907,0.8693592231607131,,COMPLETE
46,0.8675525613737708,2026-01-01 18:04:20.161029,2026-01-01 18:04:22.089466,0 days 00:00:01.928437,0.655177760979853,99,4.3057749658249325,0.06127263014062129,4,1.0181761134698228,1669,0.046417435632289235,0.1268512085396909,2.9256102617226483,0.6267265467871758,0.8776593695524457,0.8704490349702882,COMPLETE
47,0.8601059052691393,2026-01-01 18:04:22.092458,2026-01-01 18:04:30.474102,0 days 00:00:08.381644,0.6660499196260493,100,4.396696346792752,0.001651780905317727,4,5.23376414813941,1434,0.04963542031742365,0.04396124380903963,3.2713830186593547,0.6176672551651604,0.8601059052691393,,PRUNED
48,0.8745413219558706,2026-01-01 18:04:30.476097,2026-01-01 18:04:31.286758,0 days 00:00:00.810661,0.6442663558083007,98,2.890618949216048,0.0712405869998617,4,3.4445480052673694,1623,0.14673940534248842,0.39170656174363416,3.652263082907591,0.6508970459454261,0.8745413219558706,,PRUNED
49,0.8720167868940875,2026-01-01 18:04:31.289098,2026-01-01 18:04:31.942455,0 days 00:00:00.653357,0.854276524135774,91,3.5345989644578557,0.16556718146976826,5,1.3170898659212604,1319,0.007533987380236145,0.05424357701564869,1.968557617003163,0.6012402497346794,0.8720167868940875,,PRUNED
50,0.8659186562779901,2026-01-01 18:04:31.945447,2026-01-01 18:04:35.528068,0 days 00:00:03.582621,0.7013674540956406,83,4.617713682851738,0.019827688866265715,4,0.6763543616357661,1149,1.9671918867722602,0.02082514073666323,4.679504955771124,0.6554801413137671,0.8690052826227234,,COMPLETE
51,0.8669722915121689,2026-01-01 18:04:35.531061,2026-01-01 18:04:37.445989,0 days 00:00:01.914928,0.6851101089260461,96,3.934959820270814,0.05628011858576242,4,1.275668323906789,1687,0.011691854808441154,0.13809994214687496,2.7920792054402312,0.6308886164215284,0.8765578199189066,0.8700764343018944,COMPLETE
52,0.8679168552744363,2026-01-01 18:04:37.448981,2026-01-01 18:04:38.985800,0 days 00:00:01.536819,0.7404043732894627,97,3.8483709510103035,0.09591204630290678,4,1.5886553017449576,1867,0.03038797378080913,0.1400120548764942,2.5766016667933753,0.6240846341528864,0.8784286484768518,0.8708866451252516,COMPLETE
53,0.8672171605782474,2026-01-01 18:04:38.987795,2026-01-01 18:04:40.605391,0 days 00:00:01.617596,0.6550493031050934,98,3.907338496115979,0.0944914193436045,4,1.5959704810413797,1854,0.009847289388957611,0.1359453955060656,2.482699642549894,0.6246912225816073,0.8762917625757239,0.8702735695505195,COMPLETE
54,0.86352010719342,2026-01-01 18:04:40.608382,2026-01-01 18:04:41.532878,0 days 00:00:00.924496,0.6433195343745456,98,4.374195238739589,0.29060902678172285,4,1.541928768352217,1898,0.0015723047985905557,0.14617470178521605,2.4265185488818446,0.6156970461953155,0.86352010719342,,PRUNED
55,0.8702627346360914,2026-01-01 18:04:41.535871,2026-01-01 18:04:42.157549,0 days 00:00:00.621678,0.6925504306443488,100,3.9225151407719006,0.13919188561216947,5,0.8791591812445215,1777,0.004038243304429741,0.08887107734874293,2.8286805678609688,0.6251276170208574,0.8702627346360914,,PRUNED
56,0.8669285906906415,2026-01-01 18:04:42.159544,2026-01-01 18:04:43.112795,0 days 00:00:00.953251,0.6759215377469246,92,3.8673107774444513,0.22554826291237898,4,3.633079841406046,1944,8.302184577043116,0.15266871814944097,3.1910488459433215,0.6613351163494704,0.8669285906906415,,PRUNED
57,0.8675305303811001,2026-01-01 18:04:43.115787,2026-01-01 18:04:44.520395,0 days 00:00:01.404608,0.6575394726545354,97,4.268833367150414,0.0919971772563718,4,2.815031173509653,1694,0.00856663825615599,0.3255170167347607,4.124288123235886,0.6912401472248724,0.8675305303811001,,PRUNED
58,0.8757096868950507,2026-01-01 18:04:44.522895,2026-01-01 18:04:45.253360,0 days 00:00:00.730465,0.7513546041397507,96,3.5185464737119636,0.08658249912083414,5,1.6087463165807117,1831,0.032475728422656114,0.04878841972037647,2.1874953585449894,0.6009458409929215,0.8757096868950507,,PRUNED
59,0.8667093642553766,2026-01-01 18:04:45.255356,2026-01-01 18:04:47.266839,0 days 00:00:02.011483,0.6272784077399399,90,3.7854024454710213,0.05782073485878812,5,8.778686765353964,1407,0.010422572148041766,0.5348522911717728,3.110800847028559,0.6833725871619203,0.8771031772784622,0.8700610848397878,COMPLETE
60,0.8661160924964605,2026-01-01 18:04:47.268835,2026-01-01 18:04:49.468639,0 days 00:00:02.199804,0.7135887992647997,98,4.046510647990911,0.042091051728653135,4,0.6577963602639286,1984,0.006069925907411347,0.11526199248347464,5.0327587953901105,0.644916543496502,0.8690799231443402,,COMPLETE
61,0.8663014899211218,2026-01-01 18:04:49.471631,2026-01-01 18:04:51.322294,0 days 00:00:01.850663,0.6170621493663027,89,3.737718891961555,0.0557130435181347,4,5.992208011740968,1403,0.010258042497158518,0.4983588845046688,3.10300417163671,0.6802337571571837,0.876261665591201,0.8696439406343,COMPLETE
62,0.8747712629176257,2026-01-01 18:04:51.325285,2026-01-01 18:04:51.911430,0 days 00:00:00.586145,0.6315551648198514,93,3.808937086314644,0.14509061205090457,5,1.6533879300541179,1586,0.018524484314651597,0.293062695216686,2.370464334598221,0.6257310419046966,0.8747712629176257,,PRUNED
63,0.8659757201606457,2026-01-01 18:04:51.913425,2026-01-01 18:04:53.872594,0 days 00:00:01.959169,0.6536849658979268,95,4.572575376756756,0.06230785716086971,4,7.867124851177869,1209,0.002422159104974767,0.8157371974916217,2.696703114841698,0.7233346549910764,0.8692051265999557,,COMPLETE
