number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
81,0.8655358226348586,2025-12-31 00:38:29.710946,2025-12-31 00:38:50.978737,0 days 00:00:21.267791,,9,0.482787280276864,5,22,1408,0.8688445647253711,,COMPLETE
82,0.8655204129787828,2025-12-31 00:38:50.979735,2025-12-31 00:39:12.534021,0 days 00:00:21.554286,,9,0.49531447578994153,5,23,1407,0.8752817077751347,0.8688289142934191,COMPLETE
83,0.8655420828076394,2025-12-31 00:39:12.535405,2025-12-31 00:39:33.721809,0 days 00:00:21.186404,,9,0.49208938049565054,5,22,1406,0.8754117267482737,0.8688403511475379,COMPLETE
84,0.8663332723367781,2025-12-31 00:39:33.724024,2025-12-31 00:39:55.974185,0 days 00:00:22.250161,,8,0.7566526378872256,5,23,1421,0.8663332723367781,,PRUNED
85,0.8651862160626402,2025-12-31 00:39:55.976342,2025-12-31 00:40:17.437904,0 days 00:00:21.461562,,9,0.45882019567595805,1,22,1399,0.8685393813023086,,COMPLETE
86,0.8710007126965935,2025-12-31 00:40:17.438901,2025-12-31 00:40:25.165940,0 days 00:00:07.727039,,7,0.4999167921921015,32,24,1471,0.8710007126965935,,PRUNED
87,0.8650547524342441,2025-12-31 00:40:25.167372,2025-12-31 00:40:44.900363,0 days 00:00:19.732991,,8,0.5585261978674335,5,15,1272,0.868127654554035,,COMPLETE
88,0.8741909930560237,2025-12-31 00:40:44.901367,2025-12-31 00:40:51.686876,0 days 00:00:06.785509,,8,0.47891374726481645,8,22,1201,0.8741909930560237,,PRUNED
89,0.8675949379279791,2025-12-31 00:40:51.687879,2025-12-31 00:41:11.458993,0 days 00:00:19.771114,,9,0.6349065661397002,11,19,1391,0.8675949379279791,,PRUNED
90,0.864832757076403,2025-12-31 00:41:11.460019,2025-12-31 00:41:36.041278,0 days 00:00:24.581259,,9,0.5294246557456552,2,24,1478,0.868184236884938,,COMPLETE
91,0.8656037214319422,2025-12-31 00:41:36.043515,2025-12-31 00:41:56.637005,0 days 00:00:20.593490,,9,0.4983323084606662,8,17,1355,0.8689330498598684,,COMPLETE
92,0.8654842965973554,2025-12-31 00:41:56.638033,2025-12-31 00:42:17.170552,0 days 00:00:20.532519,,9,0.44804870544140085,5,20,1357,0.8753358823472759,0.8689505061108918,COMPLETE
93,0.8655502691874297,2025-12-31 00:42:17.170552,2025-12-31 00:42:37.625968,0 days 00:00:20.455416,,8,0.44793392169318014,5,17,1419,0.8686585653610195,,COMPLETE
94,0.8655184867717732,2025-12-31 00:42:37.628178,2025-12-31 00:42:57.602849,0 days 00:00:19.974671,,8,0.4499218786478434,4,16,1409,0.8686669925166858,,COMPLETE
95,0.8653407941751501,2025-12-31 00:42:57.602849,2025-12-31 00:43:17.847351,0 days 00:00:20.244502,,8,0.4641892783805011,2,17,1413,0.8682347998189366,,COMPLETE
96,0.8712523234872052,2025-12-31 00:43:17.847351,2025-12-31 00:43:25.631451,0 days 00:00:07.784100,,8,0.4374626435138085,37,14,1467,0.8712523234872052,,PRUNED
97,0.8744450116053972,2025-12-31 00:43:25.632484,2025-12-31 00:43:34.053130,0 days 00:00:08.420646,,8,0.4695047191092672,9,12,1420,0.8744450116053972,,PRUNED
98,0.8636155146343576,2025-12-31 00:43:34.055216,2025-12-31 00:43:48.025714,0 days 00:00:13.970498,,6,0.4468736732738501,4,16,1377,0.8636155146343576,,PRUNED
99,0.866922571293737,2025-12-31 00:43:48.026716,2025-12-31 00:44:01.960808,0 days 00:00:13.934092,,7,0.45680062967052,2,18,1258,0.866922571293737,,PRUNED
100,0.8733735589563809,2025-12-31 00:44:01.962817,2025-12-31 00:44:10.998716,0 days 00:00:09.035899,balanced,10,0.521698149240414,8,16,1283,0.8733735589563809,,PRUNED
